Raison Sociale;SIREN;Année;Note;Structure;Nom UES;Entreprises UES (SIREN);Région;Département
SAS BEAUNE BRIOCHE;412892697;2019;84;Entreprise;;;Bourgogne-Franche-Comté;Côte-d'Or
SEPRO ROBOTIQUE;399308428;2018;83;Entreprise;;;Pays de la Loire;Vendée
STANLEY BLACK & DECKER FRANCE;954507521;2019;78;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
TETRIS;444713515;2018;40;Entreprise;;;Île-de-France;Hauts-de-Seine
Laboratoires CHEMINEAU;544800592;2019;96;Entreprise;;;Centre-Val de Loire;Indre-et-Loire
PATISSERIE PARIS SAINT SULPICE;434851952;2019;83;Entreprise;;;Île-de-France;Val-de-Marne
COMAP SA;302304068;2019;85;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
Franciaflex;433802147;2019;76;Entreprise;;;Centre-Val de Loire;Loiret
Mutualité Française Centre Atlantique;781453923;2020;81;Entreprise;;;Nouvelle-Aquitaine;Deux-Sèvres
ECF;582012936;2019;79;Unité Economique et Sociale (UES);;CORPO (495062366),CHOMETTE (424460889),ECOTEL (300152527),BECF (828500405);Île-de-France;Essonne
INNOTHERA;302587662;2019;70;Unité Economique et Sociale (UES);;INNOTHERA CHOUZY (428295810),CLEANIS SAS (439039173),INNOTHERA INDUSTRIES (428295786),LABORATOIRE INNOTECH INTERNATIONAL (317552743),LABORATOIRES INNOTHERA (388422594),INNOTHERA NOMEXY (428295455),INNOTHERA SERVICES (428295612);Île-de-France;Val-de-Marne
DHL SERVICES LOGISTIQUES;402350136;2019;89;Entreprise;;;Île-de-France;Seine-Saint-Denis
SARL ROCCA TRANSPORTS;349395178;2019;;Entreprise;;;Corse;Corse-du-Sud
Pôle Thermal d'Amnéville;338436132;2019;87;Entreprise;;;Grand-Est;Moselle
COJEAN SAS;433432820;2018;78;Entreprise;;;Île-de-France;Paris
DIRECT DISTRIBUTION;577050578;2019;94;Entreprise;;;Pays de la Loire;Sarthe
FONDERIES DE BROUSSEVAL ET MONTREUIL;515780393;2020;;Entreprise;;;Grand-Est;Haute-Marne
LISI AEROSPACE FORGED INTEGRATED SOLUTIONS;845420280;2019;82;Entreprise;;;Grand-Est;Haute-Marne
LES HOTELS BAVEREZ;572158558;2019;92;Entreprise;;;Île-de-France;Paris
Expleo France;404271470;2019;88;Unité Economique et Sociale (UES);;Expleo Regions (352268973);Île-de-France;Yvelines
Eurovia Bretagne;722028586;2018;;Entreprise;;;Bretagne;Ille-et-Vilaine
Enterprise Services France SAS;819779406;2019;86;Entreprise;;;Île-de-France;Essonne
LINGENHELD TP;305348997;2018;;Entreprise;;;Grand-Est;Moselle
ALBIOMA;775667538;2019;75;Entreprise;;;Île-de-France;Hauts-de-Seine
DMO SAS;302364211;2019;88;Entreprise;;;Bretagne;Ille-et-Vilaine
SAS BOULANGERIE BG;478455793;2019;88;Unité Economique et Sociale (UES);;SAS COTE BOULANGE (482340973);Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
Caisse Allocations Familiales;775513708;2019;73;Entreprise;;;Centre-Val de Loire;Loiret
UGECAM Occitanie;424596492;2019;84;Entreprise;;;Occitanie;Hérault
UAPL;301341798;2020;84;Unité Economique et Sociale (UES);;SCPA (666680145),SABOC (574803185),IDELYS (514003821),ALBERT BESOMBES MOC BARIL (665480125),FIERBOIS (318948163),DOMAINE DU LANDREAU RAYMOND MORIN (389984576),DOMAINE DE BRIANCON (440843407),DOMAINE DU GRAND CERF (834041535),VIGNOBLE TOUCHAIS (322305228),CHATEAU BELLERIVE (394991459),LOIRE PROPRIETES (479390791),SERVICES VINICOLES PE (312814601),VERALIA (669200305),DOMAINE DE LA MORINIERE (341429371);Pays de la Loire;Maine-et-Loire
TEAMEX;534897293;2019;93;Unité Economique et Sociale (UES);;SANIZOR NETT (400047296),ALL NET (424890762);Centre-Val de Loire;Loiret
SOCIETE FINANCIERE BERT;389142670;2020;79;Unité Economique et Sociale (UES);;BERT DEVELOPPEMENT (788623544),BERT SERVICES (453120586),BERT TRANSPORTS SERVICES (377531264),BERT TRUCKS (414403311),BOUVAREL STOCKAGE (450792841),BERT LOGISTIQUE (392530796),INDRE LOGISTIQUE (534798178),BERT VIVARAIS STOCKAGE (439941196),TGB (418043436),TRB (400219036),BERT ENERGIE (492346366),BERT NORD (355501875),POIRIER (837250166),BERT 45 (749863486),BERT DU FOREZ (477900773),BERT 42 (419337381),BESSENAY (340006055),BERT RHONE-ALPES (513314724),BERT PROVENCE (304615529),BERT NIMES (443040712),BERT SUD (398836213),BERT INDUSTRIE (810118786),PRESTILOG (804904449),EASYLOG (813688140),STS-EROB (379420078),TRANSPORTS BOURRAT (937250140),BOURRAT LOGISTIQUE (917250136),BOURRAT DISTRIBUTION (332689777);Auvergne-Rhône-Alpes;Drôme
COLLECTE LOCALISATION SATELLITES SA;338034390;2018;;Entreprise;;;Occitanie;Haute-Garonne
CAF DE VAUCLUSE;775714124;2019;98;Entreprise;;;Provence-Alpes-Côte d'Azur;Vaucluse
SAS SANDERS BRETAGNE;352454946;2019;75;Entreprise;;;Bretagne;Morbihan
Caise d'Epargne d'Auvergne et du Limousin;382742013;2019;88;Entreprise;;;Auvergne-Rhône-Alpes;Puy-de-Dôme
SAS;390923175;2019;94;Entreprise;;;Nouvelle-Aquitaine;Gironde
PAGOT SAVOIE;421159211;2020;89;Entreprise;;;Bourgogne-Franche-Comté;Côte-d'Or
Keolis SA;552111809;2018;88;Entreprise;;;Île-de-France;Paris
ONET SERVICES ANTILLES;409302577;2020;100;Entreprise;;;Martinique;Martinique
ARTEMIS SECURITY;529075194;2020;;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
SOCIETE FORGES THERMAL;775699986;2020;69;Entreprise;;;Normandie;Seine-Maritime
MUTUALITE SOCIALE AGRICOLE POITOU;521367227;2019;81;Entreprise;;;Nouvelle-Aquitaine;Vienne
RESTALLIANCE SAS;391125796;2018;99;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
AUBAY;391504693;2018;75;Entreprise;;;Île-de-France;Hauts-de-Seine
POSTE IMMO;428579130;2019;94;Entreprise;;;Île-de-France;Paris
GBMP;420254807;2019;;Entreprise;;;Occitanie;Haute-Garonne
CARSAT BOURGOGNE FRANCHE-COMTE;778213322;2019;91;Entreprise;;;Bourgogne-Franche-Comté;Côte-d'Or
Mutualité Sociale Agricole de Midi Pyrénées Sud;509744876;2019;81;Entreprise;;;Occitanie;Gers
EDF Renouvelables;379677636;2019;93;Unité Economique et Sociale (UES);;EDF Renouvelables France (434689915),EDF Renouvelables Service (387498926);Île-de-France;Hauts-de-Seine
57205383300107;572053833;2019;95;Entreprise;;;Île-de-France;Seine-Saint-Denis
ATLANTEM INDUSTRIES;340137736;2019;83;Entreprise;;;Bretagne;Morbihan
PROCTER & GAMBLE AMIENS SAS;391548955;2018;94;Entreprise;;;Hauts-de-France;Somme
EIFFAGE ROUTE CENTRE EST;398827113;2018;;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
HENNES ET MAURITZ (H&M);398979310;2018;97;Entreprise;;;Île-de-France;Paris
CR Charente-Maritime Deux-Sèvres;399354810;2018;87;Entreprise;;;Nouvelle-Aquitaine;Charente-Maritime
NEHS DIGITAL;844938506;2019;;Entreprise;;;Île-de-France;Hauts-de-Seine
SPIE CityNetworks;434085395;2019;89;Entreprise;;;Île-de-France;Seine-Saint-Denis
CLEXTRAL;435337167;2020;;Entreprise;;;Auvergne-Rhône-Alpes;Loire
FRANCE FERMETURES;329403422;2019;;Entreprise;;;Nouvelle-Aquitaine;Creuse
LEXISNEXIS;552029431;2018;80;Entreprise;;;Île-de-France;Paris
OCEA SMART BUILDING;410049696;2018;73;Entreprise;;;Île-de-France;Hauts-de-Seine
Alcatel Submarine Networks;389534256;2018;88;Entreprise;;;Île-de-France;Essonne
BNP PARIBAS ANTILLES-GUYANE;393095757;2019;74;Entreprise;;;Martinique;Martinique
ZD SERVICES;348681347;2020;79;Unité Economique et Sociale (UES);;BRET SERVICES (402850879),CELTAT (493821821),SAMAG (309433571),C220 (811693357),C226 (811735984),S227 (811734227),C228 (811730274),C229 (811735406),S230 (811732072),C231 (815380142),S232 (817452840),C233 (819965641),C234 (819965922),C237 (829553346),S238 (829586171),S239 (829556992),C240 (829553809),S242 (830725461),C241 (830724761),C243 (843551730),C244 (844133942),S245 (844154039),C247 (844133959),S248 (844119149),C250 (879652535);Bretagne;Ille-et-Vilaine
NATIXIS PAYMENT SOLUTIONS;345155337;2018;89;Entreprise;;;Île-de-France;Val-de-Marne
GSF ATHENA;519022586;2018;79;Entreprise;;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
HANON SYSTEMS CHARLEVILLE SAS;410355028;2018;79;Entreprise;;;Grand-Est;Ardennes
Seppic SA ;552016487;2020;84;Entreprise;;;Île-de-France;Hauts-de-Seine
SOC PHILANTHROPIQUE;775666530;2020;84;Entreprise;;;Île-de-France;Paris
GIE PVCP SERVICES;378884381;2019;95;Unité Economique et Sociale (UES);;PVCP GESTION EXPLOITATION (508308012),PVCP DISTRIBUTION (314283326),PIERRE ET VACANCES DEVELOPPEMENT SA (350653044);Île-de-France;Paris
Clinique du MILLENAIRE;458800349;2019;84;Entreprise;;;Occitanie;Hérault
ASEA;775609639;2020;94;Entreprise;;;Pays de la Loire;Maine-et-Loire
ALLIANCE HEALTHCARE REPARTITION;421218132;2020;92;Entreprise;;;Île-de-France;Hauts-de-Seine
CAISSE D'ALLOCATION FAMILIALES ILLE ET VILAINE;777749375;2019;79;Entreprise;;;Bretagne;Ille-et-Vilaine
SABENA TECHNICS FNI;379411028;2020;77;Entreprise;;;Occitanie;Gard
ITM LAI;514080837;2020;89;Entreprise;;;Île-de-France;Paris
AIRBUS CYBERSECURITY SAS;523941037;2019;70;Entreprise;;;Île-de-France;Yvelines
PRICEWATERHOUSECOOPERS GIE;316806413;2019;82;Entreprise;;;Île-de-France;Hauts-de-Seine
RHON'TELECOM SAS;753942416;2018;86;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
SANOFI CHIMIE;428706204;2019;75;Entreprise;;;Île-de-France;Val-de-Marne
CENEXI SAS;440198687;2020;85;Entreprise;;;Île-de-France;Val-de-Marne
ASSOCIATION REGIONALE D'AIDE AUX INFIRMES MOTEURS CEREBRAUX;775559727;2019;81;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
APTECH;532964228;2019;73;Entreprise;;;Île-de-France;Hauts-de-Seine
RENTOKIL INITIAL SAS;622052603;2019;81;Entreprise;;;Île-de-France;Seine-Saint-Denis
FIVES MACHINING;409893443;2018;75;Entreprise;;;Occitanie;Lot
ELYDAN;388062796;2019;79;Entreprise;;;Auvergne-Rhône-Alpes;Isère
OMS SYNERGIE;529389520;2020;79;Entreprise;;;Île-de-France;Val-d'Oise
SAS CRF du Dr STER;642920417;2019;98;Entreprise;;;Occitanie;Hérault
STANLEY SECURITY FRANCE;789367174;2019;99;Entreprise;;;Île-de-France;Val-de-Marne
GEFCO SA;542050315;2018;80;Entreprise;;;Île-de-France;Hauts-de-Seine
Canon France Business Services;400767786;2019;94;Entreprise;;;Île-de-France;Paris
BNP PARIBAS LEASE GROUP;632017513;2020;90;Entreprise;;;Île-de-France;Hauts-de-Seine
LEADER PRICE EXPLOITATION;419695341;2019;99;Entreprise;;;Île-de-France;Val-de-Marne
TRANSPORTS GUIDEZ;332853712;2018;;Entreprise;;;Hauts-de-France;Pas-de-Calais
SAVIEL France;414337402;2020;84;Entreprise;;;Bretagne;Ille-et-Vilaine
AEROGARE 2F;413736521;2019;94;Entreprise;;;Île-de-France;Seine-et-Marne
GSF SATURNE;306795600;2019;89;Entreprise;;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
SERVICE NETTOYAGE ET MANUTENTION;309812840;2020;91;Entreprise;;;Normandie;Seine-Maritime
MERIALS SAS;590800215;2018;88;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
ASSYSTEM ENGINEERING AND OPERATION SERVICES;444159164;2019;87;Entreprise;;;Île-de-France;Hauts-de-Seine
SODIRENNES;320292204;2019;98;Entreprise;;;Bretagne;Ille-et-Vilaine
UGECAM NORD EST;424273407;2019;84;Entreprise;;;Grand-Est;Meurthe-et-Moselle
OMEG AGE GESTION;451114383;2019;;Entreprise;;;Hauts-de-France;Nord
COLGATE-PALMOLIVE INDUSTRIEL;478989668;2019;93;Entreprise;;;Hauts-de-France;Oise
BRAND FRANCE SAS;305234320;2019;83;Entreprise;;;Auvergne-Rhône-Alpes;Ain
DACHSER FRANCE;546650334;2019;87;Entreprise;;;Pays de la Loire;Vendée
FAURECIA AUTOMOTIVE INDUSTRIE;915722011;2019;82;Entreprise;;;Île-de-France;Hauts-de-Seine
CAUSSADE SEMENCES;846050052;2019;86;Entreprise;;;Occitanie;Tarn-et-Garonne
TROPHY SAS;480038124;2018;83;Entreprise;;;Île-de-France;Seine-et-Marne
ARDECHE AIDE A DOMICILE AAD07;776283202;2019;;Entreprise;;;Auvergne-Rhône-Alpes;Ardèche
Lesieur;457208619;2019;64;Entreprise;;;Île-de-France;Hauts-de-Seine
CREDIT MUTUEL;713820660;2019;88;Entreprise;;;Normandie;Calvados
EPPSI;383855798;2020;81;Entreprise;;;Île-de-France;Hauts-de-Seine
EURO PROTECTION SURVEILLANCE;338780513;2018;84;Entreprise;;;Grand-Est;Bas-Rhin
ALK-Abello;847180064;2018;97;Entreprise;;;Grand-Est;Meuse
SONEN;310818000;2019;84;Entreprise;;;Normandie;Seine-Maritime
CAT SAS;572158269;2019;77;Entreprise;;;Île-de-France;Hauts-de-Seine
BONDUELLE FRAIS FRANCE SAS;350326484;2019;77;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
ASAD MENE RANCE;777354853;2019;78;Entreprise;;;Bretagne;Côtes-d'Armor
LUTTI SAS;476480330;2019;67;Entreprise;;;Hauts-de-France;Nord
GROUPAMA D'OC;391851557;2019;91;Entreprise;;;Occitanie;Haute-Garonne
POLYCLINIQUE MEDIPOLE SAINT ROCH;378016893;2019;99;Entreprise;;;Occitanie;Pyrénées-Orientales
ALTEN;348607417;2019;94;Entreprise;;;Île-de-France;Hauts-de-Seine
SARA;692014962;2019;79;Entreprise;;;Martinique;Martinique
Pro à Pro Distribution Sud;385006234;2019;89;Entreprise;;;Occitanie;Tarn-et-Garonne
FRANCE BOISSONS RHONE ALPES;310455043;2020;;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
RAZEL BEC SAS;562136036;2019;79;Entreprise;;;Île-de-France;Essonne
ALTHO SAS;397729591;2019;81;Entreprise;;;Bretagne;Morbihan
OXYANE;775596885;2020;74;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
ERGALIS FRANCE;418108171;2019;84;Entreprise;;;Hauts-de-France;Nord
SUPERGROUP;383069549;2019;81;Entreprise;;;Île-de-France;Val-de-Marne
SIEGWERK France SAS;796080851;2018;81;Entreprise;;;Auvergne-Rhône-Alpes;Haute-Savoie
Société anonyme;509553459;2019;82;Entreprise;;;Grand-Est;Marne
ADT44;305833543;2019;87;Entreprise;;;Pays de la Loire;Loire-Atlantique
ALDI MARCHE ABLIS;444330781;2019;87;Entreprise;;;Île-de-France;Yvelines
SONEO;494573454;2019;81;Entreprise;;;Grand-Est;Meurthe-et-Moselle
SAS NICODIS;557350196;2019;85;Entreprise;;;Pays de la Loire;Mayenne
ECONOCOM BUSINESS CONTINUITY;844845941;2019;91;Entreprise;;;Île-de-France;Hauts-de-Seine
POLYCLINIQUE KENVAL;334257334;2019;84;Entreprise;;;Occitanie;Gard
La Banque Postale financement;487779035;2018;79;Entreprise;;;Île-de-France;Seine-Saint-Denis
I.C.M;788214963;2019;93;Entreprise;;;Occitanie;Hérault
Pole Saint Hélier;504545443;2019;95;Entreprise;;;Bretagne;Ille-et-Vilaine
HARIBO RICQLES ZAN;572149169;2019;92;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
ASSOCIATION TERRITORIALE LES PEP GRAND OISE;775628084;2020;94;Entreprise;;;Hauts-de-France;Oise
PRICEWATERHOUSECOOPERS AUDIT;672006483;2019;79;Entreprise;;;Île-de-France;Hauts-de-Seine
HOMEPERF;413766981;2019;79;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
DISTRICASH ACCESSOIRES;383485018;2019;;Entreprise;;;Nouvelle-Aquitaine;Charente-Maritime
PWC SOCIETE D'AVOCATS;712019801;2019;78;Entreprise;;;Île-de-France;Hauts-de-Seine
LES BOUTIQUES LONGCHAMP;334502655;2020;80;Entreprise;;;Île-de-France;Paris
STAUBLI FAVERGES;325720720;2020;88;Entreprise;;;Auvergne-Rhône-Alpes;Haute-Savoie
AGAPEI;529784225;2019;;Entreprise;;;Occitanie;Haute-Garonne
THE MARKETINGROUP;353944093;2019;99;Entreprise;;;Île-de-France;Hauts-de-Seine
CLEOR;413873670;2019;79;Entreprise;;;Normandie;Eure
Goodyear france;330139403;2019;88;Entreprise;;;Île-de-France;Hauts-de-Seine
PREVOIR VIE;343286183;2019;88;Entreprise;;;Île-de-France;Paris
FROUDIS SAS;490570330;2019;87;Entreprise;;;Grand-Est;Meurthe-et-Moselle
FRANCE LOISIRS;702019902;2020;95;Entreprise;;;Île-de-France;Paris
GROUPE PIERRE HENRY;738201839;2019;88;Entreprise;;;Île-de-France;Val-d'Oise
COMITE COMMUN;775646615;2019;81;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
ENTRETIEN DIJONNAIS;312616659;2019;89;Entreprise;;;Bourgogne-Franche-Comté;Côte-d'Or
TECHNI DESOSS;377557640;2019;79;Entreprise;;;Pays de la Loire;Maine-et-Loire
GENERATION;410069066;2018;93;Entreprise;;;Bretagne;Finistère
CASTEL ET FROMAGET;342732351;2019;;Entreprise;;;Occitanie;Gers
HOPITAL LA PORTE VERTE;313905424;2018;93;Entreprise;;;Île-de-France;Yvelines
Valeo Systèmes Thermiques;331312108;2019;87;Entreprise;;;Île-de-France;Yvelines
ELIVIA SAS;344477468;2019;86;Entreprise;;;Pays de la Loire;Maine-et-Loire
APICIL GESTION;417591971;2018;77;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
MSA DE PICARDIE;509556973;2020;84;Entreprise;;;Hauts-de-France;Somme
ALSACE CROISIERES CROISIEUROPE;998348601;2019;51;Entreprise;;;Grand-Est;Bas-Rhin
SARL NORDCALL;492955083;2018;69;Entreprise;;;Hauts-de-France;Nord
Association pour l'Action Sociale et Educative en Ille et Vilaine - APASE 35;777750035;2018;;Entreprise;;;Bretagne;Ille-et-Vilaine
ARC EN CIEL ENVIRONNEMENT;493689566;2020;93;Entreprise;;;Île-de-France;Val-de-Marne
ADISSEO FRANCE SAS;439436569;2019;79;Entreprise;;;Île-de-France;Hauts-de-Seine
INTM SAS;453207243;2019;92;Entreprise;;;Île-de-France;Hauts-de-Seine
SAS SEND HYPER U;530563923;2019;79;Entreprise;;;Provence-Alpes-Côte d'Azur;Vaucluse
Bestfoods France Industries;383162955;2019;98;Entreprise;;;Grand-Est;Bas-Rhin
MERALLIANCE ARMORIC;344042759;2019;99;Entreprise;;;Bretagne;Finistère
MECACHROME SABLE;793369125;2020;82;Entreprise;;;Pays de la Loire;Sarthe
SELAS CAB;443542642;2019;78;Entreprise;;;Grand-Est;Haut-Rhin
ALSACIENNE DE RESTAURATION;312478266;2020;83;Entreprise;;;Grand-Est;Bas-Rhin
GAPAS;515130599;2019;;Entreprise;;;Hauts-de-France;Nord
HEXCEL COMPOSITES;410286702;2019;69;Entreprise;;;Auvergne-Rhône-Alpes;Ain
SANOFI PASTEUR SA;349505370;2019;94;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
Clinique Saint-Pierre;574201919;2018;92;Entreprise;;;Occitanie;Pyrénées-Orientales
UNILEVER FRANCE HPC INDUSTRIES;501569594;2019;90;Entreprise;;;Île-de-France;Hauts-de-Seine
genzyme polyclonals SAS;418661039;2019;99;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
BPCE Assurances;350663860;2018;99;Entreprise;;;Île-de-France;Paris
OPAC DE LA SAVOIE;776459547;2018;85;Entreprise;;;Auvergne-Rhône-Alpes;Savoie
Vallourec Oil and Gas France;384627170;2019;86;Entreprise;;;Hauts-de-France;Nord
SIPAN SAS;452013667;2019;87;Entreprise;;;Grand-Est;Aube
SATURNE SERVICES;380932194;2018;93;Entreprise;;;Île-de-France;Val-d'Oise
MEDLINE Assembly France;799255393;2018;87;Entreprise;;;Pays de la Loire;Loire-Atlantique
CPAM de Côte d'Or;778213314;2019;92;Entreprise;;;Bourgogne-Franche-Comté;Côte-d'Or
CHALLANCIN PREVENTION ET SECURITE;341152395;2019;89;Entreprise;;;Île-de-France;Seine-Saint-Denis
FIDUCIAL ENERGIE SECURITE;384228508;2019;79;Entreprise;;;Île-de-France;Hauts-de-Seine
GEODIS AUTOMOTIVE EST;398619445;2019;89;Entreprise;;;Bourgogne-Franche-Comté;Doubs
NEOLOG SAS;493255749;2019;89;Entreprise;;;Île-de-France;Val-de-Marne
SAFRAN DATA SYSTEMS;382360956;2019;93;Entreprise;;;Île-de-France;Essonne
LIMAGRAIN INGREDIENTS;351429923;2018;89;Entreprise;;;Auvergne-Rhône-Alpes;Puy-de-Dôme
AFPJR;782631782;2019;96;Entreprise;;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
SA FAVI;778151563;2018;71;Entreprise;;;Hauts-de-France;Somme
ABBOTT FRANCE;602950206;2018;89;Entreprise;;;Île-de-France;Val-de-Marne
SQLI;353861909;2019;87;Entreprise;;;Île-de-France;Hauts-de-Seine
ROXANE NORD;382903490;2019;;Entreprise;;;Hauts-de-France;Nord
ALLOGA FRANCE;582118675;2020;93;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
COOPERATIVE AGRICOLE LORRAINE;775614837;2019;;Entreprise;;;Grand-Est;Meurthe-et-Moselle
CAF DU PUY DE DOME;775634264;2019;98;Entreprise;;;Auvergne-Rhône-Alpes;Puy-de-Dôme
PERGUILHEM SAS;307422154;2019;;Entreprise;;;Nouvelle-Aquitaine;Pyrénées-Atlantiques
NEOVIA SAS;636320038;2018;65;Entreprise;;;Bretagne;Morbihan
CARSAT CENTRE-VAL DE LOIRE;775607609;2018;96;Entreprise;;;Centre-Val de Loire;Loiret
CPAM ISERE;515393262;2018;60;Entreprise;;;Auvergne-Rhône-Alpes;Isère
CAF DE L'AISNE;534155403;2018;99;Entreprise;;;Hauts-de-France;Aisne
APIXIT;529753147;2019;44;Entreprise;;;Île-de-France;Essonne
BECKER INDUSTRIE;381035815;2019;77;Entreprise;;;Auvergne-Rhône-Alpes;Loire
IPODEC;380150185;2018;79;Entreprise;;;Normandie;Seine-Maritime
PGA Electronic;350534939;2018;67;Entreprise;;;Centre-Val de Loire;Indre
CPAM DORDOGNE;781703285;2018;84;Entreprise;;;Nouvelle-Aquitaine;Dordogne
BISCOTTE PASQUIER;775609290;2018;84;Entreprise;;;Pays de la Loire;Maine-et-Loire
PROLIANS VAMA DOCKS;856802145;2018;74;Entreprise;;;Pays de la Loire;Loire-Atlantique
Liebherr-Components SAS Colmar;530107341;2019;81;Entreprise;;;Grand-Est;Haut-Rhin
EPTA FRANCE SAS;321165045;2019;87;Entreprise;;;Nouvelle-Aquitaine;Pyrénées-Atlantiques
CLINIQUE SAINT HILAIRE;323933549;2019;84;Entreprise;;;Normandie;Seine-Maritime
PANPHARMA;328297841;2019;97;Entreprise;;;Bretagne;Ille-et-Vilaine
Gamm vert;337891287;2019;75;Unité Economique et Sociale (UES);;NALOD'S (441360682),FRAIS D'ICI (801934464),GAMM VERT OUEST (423983824),GAMM VERT SUD OUEST (415192335),NEODIS (438183170),BILLAUD GRAINS (352159941);Île-de-France;Paris
NA PALI SAS;331377036;2019;74;Entreprise;;;Nouvelle-Aquitaine;Pyrénées-Atlantiques
Moody's Analytics SAS;404165946;2019;80;Entreprise;;;Île-de-France;Hauts-de-Seine
Société Coopérative de Production à Capital Variable;784176026;2019;68;Entreprise;;;Occitanie;Haute-Garonne
NTN Transmissions Europe;421162751;2018;92;Entreprise;;;Pays de la Loire;Sarthe
ALJT;775666431;2019;93;Entreprise;;;Île-de-France;Paris
EDF ENR PWT;513281972;2019;93;Entreprise;;;Auvergne-Rhône-Alpes;Isère
ROUXEL BETON;341260206;2019;;Entreprise;;;Bretagne;Morbihan
SCADIF;309214641;2019;;Entreprise;;;Île-de-France;Seine-et-Marne
FOSSIL France;675680516;2019;80;Unité Economique et Sociale (UES);;FAST Europe (392217980);Grand-Est;Bas-Rhin
SA LNA SANTE;388359531;2019;86;Unité Economique et Sociale (UES);;SARL LA CHÉZALIÈRE (352694681),SAS LE PARC DE DIANE (394055602),SAS LE PARC DE LA PLESSE (351792478),SAS LE PARC DE LA TOUQUES (421178740),SAS LE PARC SAINT CHARLES (428670319),SAS RESIDENCE AIGUE MARINE (444727051),SAS RESIDENCE VERTE PRAIRIE (351327481),SAS LE PARC DES VIGNES (412458119),SAS RESIDENCE CREISKER (452918303),SAS LE MAS DE LA COTE BLEUE (489578492),SAS RESIDENCE LES PLEIADES (445348923),SAS LES JARDINS D'OLONNE (478216559),SAS LA VILLA DES POETES (351605522),SAS RESIDENCE LES CAMELIAS (338662547),SAS RESIDENCE LES NYMPHEAS (352351399),SAS RESIDENCE LE MONTHEARD (509618351),SAS LES JARDINS D'HERMINE (440249043),SAS RESIDENCE LES SOURCES (508707304),SAS VILLA AMELIE (532107109),SAS VILLA ELEONORE (500673926),SAS VILLA OCEANE (528150683),SAS RESIDENCE LES MIMOSAS (420020349),SAS VILLA DE FALICON (529238578),SAS VILLA TOHANNIC (380487041),SAS RESIDENCE LE BOURGAILH (331913756),AS LES JARDINS DE LEYSOTTE (410104269),SAS RESIDENCE TALANSSA (351121470),SAS VILLA DE VALROSE (343995254),SAS LNA RETRAITE (529264061),SAS LNA SERVICES (442082863),SAS EHPAD SAINT RAPHAEL (790158075),SAS VILLA DES COLLETTES (393358197);Pays de la Loire;Loire-Atlantique
UNIBETON;642016166;2019;89;Entreprise;;;Île-de-France;Yvelines
AIGLE INTERNATIONAL;314397712;2019;84;Entreprise;;;Nouvelle-Aquitaine;Vienne
ZODIAC ACTUATION SYSTEMS;542103031;2018;84;Entreprise;;;Bourgogne-Franche-Comté;Yonne
LAFARGEHOLCIM GRANULATS;562110882;2020;74;Unité Economique et Sociale (UES);;CARRIERES DE SAINT LAURENT (378416028),GRANULATS BOURGOGNE AUVERGNE (421197906),GRANULATS NORD EST  (414885541),MIDI PYRENEES GRANULATS (560800468),SOCIETE D'EXPLOITATIONDES ETS RAGONNEAU 32708014 (327080149);Île-de-France;Hauts-de-Seine
OPTIMARK;489573535;2019;92;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
Orano TEMIS;350357596;2018;83;Entreprise;;;Normandie;Manche
Transdev Grand Est;492497359;2019;89;Entreprise;;;Grand-Est;Meurthe-et-Moselle
CALBERSON SUD OUEST;393200167;2019;;Entreprise;;;Occitanie;Haute-Garonne
GE HYDRO FRANCE SAS;327948907;2020;88;Entreprise;;;Île-de-France;Hauts-de-Seine
LES PAPILLONS BLANCS D'ENTRE SAONE ET LOIRE;778613018;2018;93;Entreprise;;;Bourgogne-Franche-Comté;Saône-et-Loire
SPIE BATIGNOLLES-VALERIAN;329426340;2019;81;Entreprise;;;Provence-Alpes-Côte d'Azur;Vaucluse
CALBERSON SUD OUEST;393200167;2018;;Entreprise;;;Occitanie;Haute-Garonne
KSB SAS;569801897;2019;88;Entreprise;;;Île-de-France;Hauts-de-Seine
GIE AGRICA GESTION;493373682;2019;84;Entreprise;;;Île-de-France;Paris
